subject_localised_id,subject_localised,language
b82673617c50d2c2b79893656315994a,Anglais,fre
2452693936e8684db0b9dfd504f198c9,Danese,ita
a33d5847852cce879b47c90734c4bd7e,Farsi,eng
c6c1f81a46666385fa7d85df7eaf8763,Hebrew,eng
7280578e6a45fd916ed9431425289c9e,Latin,eng
e2fbbf9af2e11ba216737e054dd104d2,التاغالوغية,ara
b68c645c2ff59fe76069af7879dac6a0,صينية,ara
61477b834f831ce8840b23c264b30875,هندية,ara
a6727b1d7c7061c9dc04b95fb2691ef1,مجرية,ara
e2897289949fceb90f88ca9e5ca62ccc,اندونيسية,ara
c840305b53244bb533b80b07fce306d6,كورية,ara
c0657b739fdce9488ea458d57e96789b,تيبيتية,ara
4ef88329965d99db469751ad439dc7c9,Inglês,por
0caf2e93f0fb8f0ed4cd4101768c228f,Islandês,por
afd5da09f6e7f349e6036181d8eb42e3,Latim,por
bb7ad5d216e53781c41e59c565192eb3,Russo,por
a137b9aff152dde9995038dcfb29cc0f,Turco,por
f8aa4393427c2f2fd010f7adc5812517,Urdu,por
bdca469f0a21435d2d2a030df8259883,Maths,fre
f8ccbffda9d1651385e0e5ae9f184b91,Chimie,fre
8bfd003df06f6c6cd28153e00edfc93a,Cantonese,ita
0f814fe5bf4d3ce4fd172029287bab63,Cantonés,spa
1974c3b70e0e632159352458dcbb9a50,سلوفاكية,ara
9bd9a68a77db2c9613d0283f77d69c78,Polonais,fre
6826103acdad98b35e4f3eb65d7a2958,Spagnolo,ita
c8a62b7a73a868e66e12c8993766626f,Norvegese,ita
d24e050226a7529d8a5271913bf11569,Musica,ita
2b331a680aa95aa184554e544bc3000b,Mandarino,ita
a56dcb8443c25f8e14b47b8ff1748331,Bengali,spa
ae06a90622b0ba43c6ac1349d533a276,Búlgaro,spa
246f8713780edfa800c2b15f73c0fc95,Biologia,spa
2efb69575923527a71cfcfc829a07e72,Bułgarski,pol
23848d89797c733c7e588d400c3b97d3,Słowacki,pol
60634ad6f0b2b123ae638de94a06285c,Hiszpański,pol
246f8713780edfa800c2b15f73c0fc95,Biologia,pol
110b7ce1d9c37cbb58cd1f612f1ea8f6,Tamilce,tur
60923b534bd6546d6c6ae3919bd098ee,Latino,ita
fea966741c6513f45da04bb611068c2a,保加利亚语,cht
c730389bc8d99e59c867766babdd48b5,Polish,eng
cb5480c32e71778852b08ae1e8712775,Spanish,eng
0bfffccd1eee48b54079a946025bd298,موسيقى,ara
7b86112ec6401fd8f06ab5251d1a68fe,Hungarian,eng
4037f77713990c867a3c53066fbc4dd0,Sanskrit,eng
cf3d1bb398b41f314a2887c14abcfa8b,نرويجية,ara
4db208d47a37346d89288ac423b82236,Rumänisch,ger
a49950aa047c2292e989e368a97a3aae,Math,eng
84cf6008945c9b558ed7c0869557b70d,Chemistry,eng
a19c9ba997aa355cbd663d11008b9647,كاتالانية,ara
aa7365e5b7fe71556f76396b08976acb,تايلاندية,ara
7d08370b5e68d1e6e200a331e0632440,اوردو,ara
5a2286bc3ce290757c5defa6e8f46edc,إيرلندية,ara
d75437408b478b5c3e45ccd72f7619e5,برتغالية,ara
681f7667f427d15da9856ff88f6d3914,تاميل,ara
632e68388327e32ca5677759c60dff50,فيزياء,ara
8ead536bfe544143a689b16c2b3fed75,يابانية,ara
45ce219c36380b36aa51ece12d096935,بولندية,ara
614c6d974eb86293e09557335a6aff47,اسبانية,ara
9180ba6dd8d09bed2237e2255f8c01d6,فييتنامية,ara
fc577772b57711f3e5b0ef0c1b35d298,لغة,ara
1ff25887b503d83ed9589ecaf686c17c,Croata,por
414125f264ea4e96c5b1de99fc699bec,Persa,por
1315f6c92ee74c5484064694215e16c8,Alemão,por
